# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
a 	啊	c=11 d=0.332871 t=8422
a 	錒	c=1 d=2.65939e-07 t=8422
a bu 	阿布	c=2 d=5.09876e-07 t=8422
a ha ha ha ha ha 	啊哈哈哈哈哈	c=1 d=2.04662e-14 t=8422
ai 	愛	c=1 d=7.30285e-15 t=8422
ai ding bao 	愛丁堡	c=7 d=0.0240833 t=8422
ai ding bao da xue 	愛丁堡大學	c=5 d=0.000162859 t=8422
ai er lan 	愛爾蘭	c=0 d=2.0165e-17 t=8422
ai er lan xue sheng yi qi 	愛爾蘭學生一起	c=1 d=2.0266e-16 t=8422
ai ke cheng 	愛課程	c=2 d=6.05061e-13 t=8422
ai yo 	哎唷	c=1 d=3.38362e-17 t=8422
an hui 	安徽	c=1 d=2.18216e-16 t=8422
an hui ha ha ha 	安徽哈哈哈	c=1 d=1.96671e-16 t=8422
an hun qu 	安魂曲	c=1 d=2.49848e-08 t=8422
an li 	案例	c=4 d=5.96364e-08 t=8422
an pai 	安排	c=2 d=0.00213864 t=8422
an pai ru xia 	安排如下	c=1 d=1.09511e-10 t=8422
an shi 	暗示	c=1 d=0.17932 t=8422
an zhao 	按照	c=6 d=0.417296 t=8422
an zhuang 	安裝	c=3 d=4.23802e-09 t=8422
ang 	昂	c=0 d=0.00409665 t=8422
ao si ka 	奧斯卡	c=1 d=1.33434e-11 t=8422
ba 	吧	c=9 d=0.351692 t=8422
ba duan 	八段	c=1 d=1.90793e-12 t=8422
ba hen duo 	把很多	c=1 d=1.2536e-12 t=8422
ba li 	巴黎	c=0 d=2.38935e-13 t=8422
ba li ye mei gui 	巴黎野玫瑰	c=1 d=2.40133e-12 t=8422
ba ta 	把它	c=0 d=2.31873e-13 t=8422
ba wang 	霸王	c=1 d=6.77864e-15 t=8422
ba wang long 	霸王龍	c=1 d=6.81262e-15 t=8422
bai du 	百度	c=5 d=0.400024 t=8422
bai du wang pan 	百度網盤	c=2 d=2.14648e-11 t=8422
bai du yun 	百度雲	c=1 d=0.375311 t=8422
bai se 	白色	c=0 d=3.28083e-08 t=8422
bai se bei jing 	白色背景	c=1 d=3.29727e-07 t=8422
bai tuo 	拜託	c=0 d=9.12658e-15 t=8422
ban 	版	c=1 d=0.436049 t=8422
ban 	般	c=1 d=1.4859e-12 t=8422
ban 	辦	c=1 d=3.03798e-14 t=8422
ban ben 	版本	c=11 d=0.318654 t=8422
ban ben kong jian 	版本空間	c=5 d=0.059553 t=8422
ban gei 	頒給	c=1 d=1.72582e-11 t=8422
ban quan 	版權	c=0 d=1.86952e-09 t=8422
ban sui 	伴隨	c=1 d=0.143704 t=8422
bang 	鎊	c=20 d=0.000385874 t=8422
bang ni 	幫你	c=0 d=0.00228227 t=8422
bang wo 	幫我	c=0 d=1.33006e-14 t=8422
bang wo da yin xia 	幫我打印下	c=3 d=7.32052e-08 t=8422
bang zhu 	幫助	c=1 d=0.0537944 t=8422
bao 	包	c=3 d=2.93347e-05 t=8422
bao 	抱	c=1 d=3.06851e-14 t=8422
bao 	暴	c=2 d=9.4395e-12 t=8422
bao 	爆	c=2 d=2.10859e-08 t=8422
bao bao 	寶寶	c=0 d=1.83344e-15 t=8422
bao biao 	報表	c=1 d=7.10658e-12 t=8422
bao chu 	爆出	c=0 d=5.43721e-10 t=8422
bao fa li 	爆發力	c=1 d=1.38544e-12 t=8422
bao gao 	報告	c=2 d=0.00182243 t=8422
bao gui 	寶貴	c=1 d=3.38305e-15 t=8422
bao han 	包含	c=5 d=0.0104161 t=8422
bao han yang ben 	包含樣本	c=1 d=0.0977834 t=8422
bao huan 	包換	c=0 d=1.05964e-06 t=8422
bao huan de 	包換的	c=1 d=1.06495e-05 t=8422
bao kuo 	包括	c=5 d=0.000336939 t=8422
bao kuo kun rao 	包括困擾	c=1 d=3.19319e-12 t=8422
bao li 	暴力	c=2 d=0.376691 t=8422
bao li dou shi 	暴力都是	c=1 d=0.213312 t=8422
bao zha 	爆炸	c=0 d=0.00200405 t=8422
bei 	被	c=5 d=0.672226 t=8422
bei ai er lan 	北愛爾蘭	c=2 d=1.33941 t=8422
bei er fa si te 	貝爾法斯特	c=6 d=4.2753 t=8422
bei fang ren 	北方人	c=0 d=1.60217e-17 t=8422
bei feng kuang 	被瘋狂	c=1 d=0.19205 t=8422
bei jing 	背景	c=4 d=0.0365337 t=8422
bei le 	背了	c=1 d=4.9223e-15 t=8422
bei qian fu suo zhi 	被千夫所指	c=1 d=0.155673 t=8422
bei shi wei 	被視爲	c=1 d=1.92613e-06 t=8422
bei tai 	備胎	c=1 d=3.68255e-13 t=8422
bei ti chu he you hua 	被提出和優化	c=1 d=1.77375e-07 t=8422
bei ye 	貝葉	c=0 d=9.10457e-16 t=8422
bei ye si 	貝葉斯	c=1 d=9.15021e-15 t=8422
ben 	本	c=5 d=0.0113906 t=8422
ben bo 	奔波	c=1 d=2.8754e-14 t=8422
ben bu 	本部	c=0 d=6.1484e-15 t=8422
ben bu fen 	本部分	c=3 d=0.000223746 t=8422
ben ci 	本次	c=1 d=0.0386741 t=8422
ben ci shi xi 	本次實習	c=1 d=0.38868 t=8422
ben dao 	本島	c=1 d=0.66365 t=8422
